Pairs ( Date & Time        Missing Rate )
2013-09-24 17:30	 0.000 %	2013-09-25 17:30	 0.000 %	2013-09-26 17:30	10.000 %	
2013-09-24 17:35	10.000 %	2013-09-25 17:35	10.000 %	2013-09-26 17:35	 0.000 %	
2013-09-24 17:40	 0.000 %	2013-09-25 17:40	 0.000 %	2013-09-26 17:40	 0.000 %	
2013-09-24 17:45	 0.000 %	2013-09-25 17:45	 0.000 %	2013-09-26 17:45	10.000 %	
2013-09-24 17:50	 0.000 %	2013-09-25 17:50	 0.000 %	2013-09-26 17:50	 0.000 %	
2013-09-24 17:55	 0.000 %	2013-09-25 17:55	 0.000 %	2013-09-26 17:55	10.000 %	
2013-09-24 18:00	 0.000 %	2013-09-25 18:00	 0.000 %	2013-09-26 18:00	 0.000 %	
2013-09-24 18:05	10.000 %	2013-09-25 18:05	 0.000 %	2013-09-26 18:05	 0.000 %	
2013-09-24 18:10	 0.000 %	2013-09-25 18:10	 0.000 %	2013-09-26 18:10	 0.000 %	
2013-09-24 18:15	 0.000 %	2013-09-25 18:15	10.000 %	2013-09-26 18:15	10.000 %	
2013-09-24 18:20	 0.000 %	2013-09-25 18:20	 0.000 %	2013-09-26 18:20	 0.000 %	
2013-09-24 18:25	 0.000 %	2013-09-25 18:25	 0.000 %	2013-09-26 18:25	 0.000 %	
2013-09-24 18:30	 0.000 %	2013-09-25 18:30	 0.000 %	2013-09-26 18:30	 0.000 %	
2013-09-24 18:35	 0.000 %	2013-09-25 18:35	 0.000 %	2013-09-26 18:35	 0.000 %	
2013-09-24 18:40	10.000 %	2013-09-25 18:40	 0.000 %	2013-09-26 18:40	 0.000 %	
2013-09-24 18:45	 0.000 %	2013-09-25 18:45	 0.000 %	2013-09-26 18:45	 0.000 %	
2013-09-24 18:50	 0.000 %	2013-09-25 18:50	10.000 %	2013-09-26 18:50	10.000 %	
2013-09-24 18:55	 0.000 %	2013-09-25 18:55	 0.000 %	2013-09-26 18:55	 0.000 %	
2013-09-24 19:00	 0.000 %	2013-09-25 19:00	 0.000 %	2013-09-26 19:00	 0.000 %	
2013-09-24 19:05	 0.000 %	2013-09-25 19:05	 0.000 %	2013-09-26 19:05	 0.000 %	
2013-09-24 19:10	 0.000 %	2013-09-25 19:10	 0.000 %	2013-09-26 19:10	 0.000 %	
2013-09-24 19:15	10.000 %	2013-09-25 19:15	 0.000 %	2013-09-26 19:15	 0.000 %	
2013-09-24 19:20	 0.000 %	2013-09-25 19:20	 0.000 %	2013-09-26 19:20	 0.000 %	
2013-09-24 19:25	 0.000 %	2013-09-25 19:25	10.000 %	2013-09-26 19:25	10.000 %	
2013-09-24 19:30	 0.000 %	2013-09-25 19:30	 0.000 %	2013-09-26 19:30	 0.000 %	
2013-09-24 19:35	 0.000 %	2013-09-25 19:35	 0.000 %	2013-09-26 19:35	 0.000 %	
2013-09-24 19:40	 0.000 %	2013-09-25 19:40	 0.000 %	2013-09-26 19:40	 0.000 %	
2013-09-24 19:45	10.000 %	2013-09-25 19:45	 0.000 %	2013-09-26 19:45	 0.000 %	
2013-09-24 19:50	 0.000 %	2013-09-25 19:50	 0.000 %	2013-09-26 19:50	 0.000 %	
2013-09-24 19:55	 0.000 %	2013-09-25 19:55	10.000 %	2013-09-26 19:55	 0.000 %	
